### 08 — Logs du conteneur pendant le test (gunicorn / accès)

Toutes les requêtes POST /api/images/<name>/rotate observées :
  172.19.0.1 - - [09/Aug/2026:19:16:47 +0000] "GET /uploads/9946cf13d31c4fa3b4a3bf46fc7db7c3.png?size=t HTTP/1.1" 200 0 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:16:47 +0000] "GET /uploads/8b59fc6c17d54d64b06de1991dc827e5.png?size=t HTTP/1.1" 200 0 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:16:47 +0000] "GET /uploads/c58e91f57fc64dbcb7449d38825c98b1.jpg?size=t HTTP/1.1" 200 0 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:16:47 +0000] "GET /uploads/afacf742b85a4d01b7e81bdb7df7ae0f.jpg?size=t HTTP/1.1" 200 0 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:16:55 +0000] "GET /uploads/afacf742b85a4d01b7e81bdb7df7ae0f.jpg?size=s HTTP/1.1" 200 0 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:16:55 +0000] "GET /uploads/afacf742b85a4d01b7e81bdb7df7ae0f.jpg?size=s&_r=1786303015613 HTTP/1.1" 200 0 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:16:55 +0000] "GET /uploads/04362303e7424f4991191faf4bf11a3f.png?size=t HTTP/1.1" 200 0 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:16:55 +0000] "GET /uploads/a7d316aa8313417198884c2986a964f6.jpg?size=t HTTP/1.1" 200 0 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:16:55 +0000] "GET /uploads/8f9206ba3b5c41dfbda29f1ba75ef543.png?size=t HTTP/1.1" 200 0 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:16:57 +0000] "GET /uploads/afacf742b85a4d01b7e81bdb7df7ae0f.jpg?size=s&_r=1786303017140 HTTP/1.1" 200 0 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
